ngay,thi_phan_co_so,thi_phan_cn,thi_phan_ds,gtgd_cs_ssi,thanh_khoan_ttcs,tong_du_no_margin,slkh_margin,du_no_t7,slkh_t7,du_no_trading_plus,slkh_trading_plus,slkh_register_mplus,slkh_active_mplus,du_no_mplus,slkh_co_du_no_mplus,giai_ngan_mplus,slkh_giai_ngan_mplus,du_no_spv,ty_trong_spv,thi_phan_phai_sinh,thanh_khoan_tt_ps,slkh_ps,ty_le_slhd_dplus,slkh_dplus,ty_le_slkh_dplus,kh_cancel_dplus,kh_register_dplus,kh_giu_qua_dem,kh_sd_dplus,slhd_giu_qua_dem,du_no_dplus_giai_ngan,du_no_dplus_cuoi_ngay,so_du_scash,so_du_casa_scash,ty_le_scash_casa,slkh_scash,so_du_sfund,slkh_sfund,slkh_mo_moi
2026-04-03,0.0715,0.0615,0.01,18624.0,131377.0,37408.0,24655.0,2082.0,5187.0,981.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0778,1180141.0,1040.0,0.716,669.0,0.643,86.0,229.0,0.0,1811.0,0.0,0.0,0.0,3874.0,13275.0,0.4120838208701202,6596.0,468.0,9746.0,4931.0
2026-04-10,0.0923,0.08,0.0123,23117.0,128358.0,38569.0,24800.0,2161.0,5209.0,1026.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0763,1286466.0,1022.0,0.699,666.0,0.652,84.0,182.0,0.0,1912.0,0.0,0.0,0.0,3729.0,12571.0,0.42173716353766116,6605.0,468.0,9598.0,5442.0
2026-04-17,0.0812,0.0698,0.0114,21123.0,133321.0,40964.0,24525.0,2169.0,5146.0,2430.0,374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0798,1059447.0,1091.0,0.706,704.0,0.645,73.0,217.0,0.0,2054.0,0.0,0.0,0.0,3778.0,13286.0,0.3973496003365587,6741.0,478.0,9936.0,6362.0
